odf_name,odf_calories,odf_carbs,odf_sugar,odf_protein,odf_fat,odf_update_dt
커피_헤이즐넛라떼,46,,7.01,1.18,,2023-06-30
커피_헤이즐넛라떼아이스(ICED)(L),38,,4.79,1.22,,2023-06-30
커피_헤이즐넛라떼아이스(ICED)(M),38,,4.99,1.2,,2023-06-30
커피_헤이즐넛라떼핫(HOT)(L),44,,5.26,1.52,,2023-06-30
커피_헤이즐넛라떼핫(HOT)(M),49,,5.84,1.71,,2023-06-30
커피_헤이즐넛아메리카노아이스(ICED),21,5.01,4.92,0.03,0,2023-06-30
커피_헤이즐넛아메리카노핫(HOT),27,6.51,6.4,0.04,0,2023-06-30
커피_헥사메리카노아이스(ICED),1,0.2,0,0.04,0,2023-06-30
커피_헥사메리카노핫(HOT),1,0.26,0,0.06,0,2023-06-30
커피_흑당아인슈페너아이스(ICED),89,,11.83,1.69,,2023-06-30
커피_흑당아인슈페너핫(HOT),89,,11.83,1.69,,2023-06-30
커피_흑당커피아이스(ICED)(M),50,,6.29,1.27,,2023-06-30
커피_더치라떼아이스(ICED),19,1.44,1.27,0.76,1.02,2024-09-20
커피_더치커피핫(HOT),1,0.17,0,0,0,2024-09-20
커피_돌체라떼아이스(ICED),46,5.72,5.08,1.41,1.77,2024-09-20
커피_디카페인라떼아이스(ICED),20,1.68,1.27,0.88,1.02,2024-09-20
커피_디카페인라떼핫(HOT),33,2.61,2.2,1.44,1.76,2024-09-20
커피_디카페인커피아이스(ICED),2,0.41,0,0.12,0,2024-09-20
커피_디카페인커피핫(HOT),2,0.41,0,0.12,0,2024-09-20
커피_아인슈페너라떼아이스(ICED),51,5.8,4.13,1.01,2.53,2024-09-20
커피_아인슈페너아이스(ICED),32,4.19,2.86,0.25,1.51,2024-09-20
커피_에스프레소,33,6.67,0,0,0,2024-09-20
커피_헤이즐넛라떼아이스(ICED),34,4.83,4.34,0.86,1.15,2024-09-20
커피_헤이즐넛라떼핫(HOT),44,5.54,5.02,1.27,1.69,2024-09-20
커피_빅포즈아메리카노,3,0.63,0,0,0,2024-09-20
커피_아메리카노아이스(ICED),3,0.51,0,0,0,2024-09-20
커피_아메리카노핫(HOT),3,0.51,0,0,0,2024-09-20
커피_카라멜마끼아또아이스(ICED),43,6.84,5.18,0.91,1.18,2024-09-20
커피_카라멜마끼아또핫(HOT),55,8.19,6.09,1.34,1.76,2024-09-20
커피_카페라떼아이스(ICED),26,2.2,1.69,1.02,1.35,2024-09-20
커피_카페라떼핫(HOT),35,2.79,2.28,1.37,1.83,2024-09-20
커피_흑당카페라떼아이스(ICED),50,8.29,7.17,1.02,1.35,2024-09-20
커피_카페모카아이스(ICED),54,6.7,4.77,0.91,2.55,2024-09-20
커피_카푸치노핫(HOT),32,2.71,2.18,1.27,1.69,2024-09-20
코코아_시그니처초콜릿아이스(ICED)(Tall),92,,9.01,2.82,,2022-06-24
코코아_시그니처초콜릿핫(HOT)(Tall),141,,14.65,4.23,,2022-06-24
코코아_아이스초코아이스(ICED),68,7.56,4.15,1.71,3.41,2022-07-13
코코아_아이스초콜릿(L),83,,8.28,2.07,,2022-07-11
코코아_아이스초콜릿(R),79,,7.89,1.84,,2022-07-11
코코아_초코아이스(ICED),52,,5.25,1.32,,2022-07-06
코코아_아이스초코아이스(ICED),83,10.8,9.07,1.94,,2022-06-27
코코아_플러피판다초콜릿아이스(ICED)(Grande),88,,8.25,2.33,,2022-06-24
코코아_플러피판다핫초콜릿핫(HOT)(Grande),99,,10.15,2.54,,2022-06-24
코코아_핫초코핫(HOT),114,11.61,7.1,3.23,6.13,2022-07-13
코코아_핫초콜릿(L),126,,12.62,3.08,,2022-07-11
코코아_핫초콜릿(R),122,,13.33,3.33,,2022-07-11
코코아_핫초코아이스(ICED),71,,9.6,1.69,,2022-07-11
코코아_초코핫(HOT),63,,3.89,1.91,,2022-07-06
코코아_핫초코핫(HOT),112,13.9,11.91,2.98,,2022-06-27
코코아_핫초코핫(HOT),89,,11.02,2.54,,2022-07-11
코코아_화이트초코아이스(ICED),73,,9.89,1.69,,2022-07-11
코코아_화이트초코핫(HOT),91,,11.3,2.54,,2022-07-11
콤부차_애플히비스커스콤부차(L),32,,7.87,0,,2022-07-11
콤부차_애플히비스커스콤부차(V),36,,8.78,0,,2022-07-11
콤부차_애플망고콤부차(L),33,,7.71,0,,2022-07-11
콤부차_애플망고콤부차(V),34,,8,0,,2022-07-11
콤부차_플레인콤부차(L),25,,6.46,0,,2022-07-11
콤부차_플레인콤부차(V),30,,7.68,0,,2022-07-11
탄산음료_블랙티레모네이드피지오(Tall),18,,4.79,0,,2022-06-24
탄산음료_블루캔디소다아이스(ICED),36,,8.32,0,,2022-06-23
탄산음료_유자패션피지오(Tall),41,,10.14,0,,2022-06-24
탄산음료_체리콕콕아이스(ICED),48,,12,0.17,,2022-06-23
탄산음료_쿨라임피지오(Tall),30,,7.04,0,,2022-06-24
탄산음료_패션탱고티레모네이드피지오(Tall),18,,4.79,0,,2022-06-24
탄산음료_슬림깔라만시탄산수,5,,1.09,0.05,,2023-06-21
탄산음료_슬림청포도탄산수,12,,2.07,0.03,,2023-06-21
탄산음료_체리팡팡아이스(ICED)(L),53,12.79,11.73,0,,2023-07-20
탄산음료_파인소다아이스(ICED)(L),31,,7.61,0,,2023-07-20
허브차_감잎차아이스(ICED)(L),0,,0,0.04,,2022-07-05
허브차_감잎차핫(HOT)(L),0,,0,0.04,,2022-07-05
허브차_국화차아이스(ICED)(L),1,,0,0,,2022-07-05
허브차_국화차핫(HOT)(L),1,,0,0,,2022-07-05
허브차_그린루이보스아이스(ICED),2,,0,0,,2022-07-08
허브차_그린루이보스핫(HOT),2,,0,0,,2022-07-08
허브차_레몬사과블렌드티아이스(ICED)(L),1,,0,0.07,,2022-07-05
허브차_레몬사과블렌드티핫(HOT)(L),1,,0,0.07,,2022-07-05
허브차_로얄캐모마일아이스(ICED),2,0.47,0,0,,2022-06-27
허브차_로얄캐모마일핫(HOT),3,0.5,0,0,,2022-06-27
허브차_루이보스레몬,1,,0,0,,2022-07-04
허브차_루이보스슈가플럼,2,,0.36,0,,2022-07-08
허브차_루이보스오렌지아이스(ICED),0,,0,0,,2022-07-11
허브차_루이보스오렌지핫(HOT),0,,0,0,,2022-07-11
허브차_민트블렌드티아이스(ICED)(Tall),0,,0,0,,2022-06-24
허브차_민트블렌드티핫(HOT)(Tall),0,,0,0,,2022-06-24
허브차_민트아이스(ICED)(L),0,,,0,,2022-07-12
허브차_민트핫(HOT)(L),0,,,0,,2022-07-12
허브차_민트크루아이스(ICED)(L),0,,0,0,,2022-07-11
허브차_민트크루핫(HOT)(L),0,,0,0,,2022-07-11
허브차_샤인히비스커스아이스(ICED),1,,0,0,,2022-07-08
허브차_샤인히비스커스핫(HOT),1,,0,0,,2022-07-08
허브차_스위트후르츠아이스(ICED),0,,0,0,,2022-07-11
허브차_스위트후르츠핫(HOT),0,,0,0,,2022-07-11
허브차_스프링캐모마일아이스(ICED),2,,0,0,,2022-07-08
허브차_스프링캐모마일핫(HOT),2,,0,0,,2022-07-08
허브차_시나몬진저티,1,,0,0,,2022-07-08
허브차_오렌지보스아이스(ICED)(L),0,,0,0,,2022-07-11
허브차_오렌지보스핫(HOT)(L),0,,0,0,,2022-07-11
허브차_유러피안후르츠,0,,0,0,,2022-07-08
허브차_카모마일아이스(ICED)(L),2,,,0.21,,2022-07-12
허브차_카모마일핫(HOT)(L),0,,,0,,2022-07-12
허브차_캐모마일블렌드티아이스(ICED)(Tall),0,,0,0,,2022-06-24
허브차_캐모마일블렌드티핫(HOT)(Tall),0,,0,0,,2022-06-24
허브차_캐모마일아이스(ICED),0,,0,0.01,,2022-07-06
허브차_캐모마일아이스(ICED),0,,0,0,,2022-07-11
허브차_캐모마일아이스(ICED),0,,0,0,,2022-07-11
허브차_캐모마일아이스(ICED),1,,0,0,,2022-07-11
허브차_캐모마일티아이스(ICED)(L),1,,0,0.22,,2022-07-05
허브차_캐모마일티핫(HOT)(L),1,,0,0.22,,2022-07-05
허브차_캐모마일핫(HOT),0,,0,0,,2022-07-06
허브차_캐모마일핫(HOT),0,,0,0,,2022-07-11
허브차_캐모마일핫(HOT),0,,0,0,,2022-07-11
허브차_캐모마일핫(HOT),1,,0,0,,2022-07-11
허브차_캐모마일,1,,0,0.06,0,2022-06-23
허브차_캐모마일,0,,0,0,,2022-07-04
허브차_캐모마일,2,,0,0,,2022-07-08
허브차_커즈마인아이스(ICED)(L),0,,0,0,,2022-07-11
허브차_커즈마인핫(HOT)(L),0,,0,0,,2022-07-11
허브차_쿨민트아이스(ICED),2,0.47,0,0.23,,2022-06-27
허브차_쿨민트핫(HOT),3,0.5,0,0.25,,2022-06-27
허브차_크림슨펀치아이스(ICED),3,0.47,0,0,,2022-06-27
허브차_크림슨펀치핫(HOT),3,0.5,0,0,,2022-06-27
허브차_페어진저아이스(ICED),0,,0,0,,2022-07-11
허브차_페어진저핫(HOT),0,,0,0,,2022-07-11
허브차_페퍼민트아이스(ICED),0,,0,0.01,,2022-07-06
허브차_페퍼민트아이스(ICED),0,,0,0,,2022-07-11
허브차_페퍼민트아이스(ICED),0,,0,0,,2022-07-11
허브차_페퍼민트아이스(ICED),1,,0,0,,2022-07-11
허브차_페퍼민트티아이스(ICED)(L),0,,0,0.04,,2022-07-05
허브차_페퍼민트티핫(HOT)(L),0,,0,0.04,,2022-07-05
허브차_페퍼민트핫(HOT),0,,0,0,,2022-07-06
허브차_페퍼민트핫(HOT),0,,0,0,,2022-07-11
허브차_페퍼민트핫(HOT),0,,0,0,,2022-07-11
허브차_페퍼민트핫(HOT),1,,0,0,,2022-07-11
허브차_페퍼민트,1,,0,0.11,0,2022-06-23
허브차_페퍼민트,0,,0,0,,2022-07-04
허브차_페퍼민트,0,,0,0,,2022-07-08
허브차_페퍼민트티아이스(ICED),0,,,0.03,,2022-06-23
허브차_페퍼민트티핫(HOT),0,,,0.05,,2022-06-23
허브차_퓨어페퍼민트아이스(ICED),1,,0,0,,2022-07-08
허브차_퓨어페퍼민트핫(HOT),1,,0,0,,2022-07-08
허브차_허브티아이스(ICED),0,,0,0,,2022-07-04
허브차_허브티핫(HOT),1,,0,0,,2022-07-04
허브차_히비스커스블렌드티아이스(ICED)(L),1,,0,0.07,,2022-07-05
허브차_히비스커스블렌드티아이스(ICED)(Tall),0,,0,0,,2022-06-24
허브차_히비스커스블렌드티핫(HOT)(L),1,,0,0.07,,2022-07-05
허브차_히비스커스블렌드티핫(HOT)(Tall),0,,0,0,,2022-06-24
허브차_레몬밤,1,,0,0.04,,2023-06-30
허브차_레몬밤민트티아이스(ICED),35,,7.92,0.03,,2023-06-23
허브차_레몬밤민트티핫(HOT),44,,9.89,0.04,,2023-06-23
허브차_루이보스아이스(ICED),0,,0.21,0,,2023-06-30
허브차_루이보스아이스(ICED),2,,0,0,,2023-06-30
허브차_루이보스핫(HOT),0,,0.21,0,,2023-06-30
허브차_루이보스핫(HOT),2,,0,0,,2023-06-30
허브차_카모마일아이스(ICED)(L),0,,0,0,,2023-06-30
허브차_카모마일아이스(ICED)(M),0,,0,0,,2023-06-30
허브차_카모마일핫(HOT)(L),0,,0,0,,2023-06-30
허브차_카모마일핫(HOT)(M),0,,0,0,,2023-06-30
허브차_캐모마일,2,,0,0.21,,2023-06-30
허브차_캐모마일,1,,0,0,,2023-06-30
허브차_캐모마일아이스(ICED),0,,0,0,,2023-06-30
허브차_캐모마일아이스(ICED),0,0,0,0.01,0.02,2023-06-30
허브차_캐모마일아이스(ICED)(R),3,,0.01,0.1,,2023-09-19
허브차_캐모마일핫(HOT),0,,0,0,,2023-06-30
허브차_캐모마일핫(HOT),0,0,0,0.01,0.03,2023-06-30
허브차_캐모마일핫(HOT),0,,0,0,,2023-09-26
허브차_캐모마일핫(HOT)(R),2,,0,0.06,,2023-09-19
허브차_캐모마일티아이스(ICED),1,,,0.03,,2023-06-23
허브차_캐모마일티아이스(ICED),0,,0,0,,2023-09-26
허브차_캐모마일티핫(HOT),1,,,0.06,,2023-06-23
허브차_쿨허벌티아이스(ICED),0,,0,0,,2023-06-30
허브차_쿨허벌티핫(HOT),0,,0,0,,2023-06-30
허브차_크림얼그레이티아이스(ICED),1,,0,0,,2023-09-26
허브차_크림얼그레이티핫(HOT),1,,0,0,,2023-09-26
허브차_페퍼민트,1,,0,0.08,,2023-06-30
허브차_페퍼민트,1,,0,0,,2023-06-30
허브차_페퍼민트아이스(ICED),0,,0,0,,2023-06-30
허브차_페퍼민트아이스(ICED),0,0.01,0,0,0.02,2023-06-30
허브차_페퍼민트아이스(ICED)(L),0,,0,0,,2023-06-30
허브차_페퍼민트아이스(ICED)(M),0,,0,0,,2023-06-30
허브차_페퍼민트아이스(ICED)(R),3,,0.02,0.1,,2023-09-19
허브차_페퍼민트핫(HOT),0,,0,0,,2023-06-30
허브차_페퍼민트핫(HOT),0,0.02,0,0.01,0.03,2023-06-30
허브차_페퍼민트핫(HOT)(L),0,,0,0,,2023-06-30
허브차_페퍼민트핫(HOT)(M),0,,0,0,,2023-06-30
허브차_페퍼민트핫(HOT)(R),2,,0.01,0.06,,2023-09-19
허브차_페퍼민트티아이스(ICED),1,,0.07,0.03,,2023-06-23
허브차_페퍼민트티핫(HOT),2,,0.13,0.06,,2023-06-23
허브차_허브티아이스(ICED),0,,0,0,,2023-06-30
허브차_허브티핫(HOT),0,,0,0,,2023-06-30
허브차_히비스커스아이스(ICED),0,0.06,0,0.01,0.01,2023-06-30
허브차_히비스커스아이스(ICED)(R),2,,0.02,0.03,,2023-09-19
허브차_히비스커스핫(HOT),0,0.07,0,0.01,0.01,2023-06-30
허브차_히비스커스핫(HOT)(R),3,,0.03,0.03,,2023-09-19
홍차_머스캣블렌드티아이스(ICED)(L),0,,0,0.07,,2022-07-05
홍차_머스캣블렌드티핫(HOT)(L),0,,0,0.07,,2022-07-05
홍차_머스캣,2,,0.36,0.36,,2022-07-08
홍차_블랙티아이스(ICED)(J),2,,0,0.15,,2022-06-22
홍차_블랙티아이스(ICED)(L),2,,0,0.21,,2022-06-22
홍차_블랙티아이스(ICED)(L),0,,,0,,2022-07-12
홍차_블랙티핫(HOT)(J),2,,0,0.21,,2022-06-22
홍차_블랙티핫(HOT)(L),2,,0,0.24,,2022-06-22
홍차_블랙티핫(HOT)(L),0,,,0,,2022-07-12
홍차_아쌈티아이스(ICED)(L),1,,0,0.07,,2022-07-05
홍차_아쌈티핫(HOT)(L),1,,0,0.07,,2022-07-05
홍차_아쌈오렌지,2,,0,0,,2022-07-08
홍차_아쌈티아이스(ICED),0,,0,0,,2022-07-11
홍차_아쌈티핫(HOT),0,,0,0,,2022-07-11
홍차_얼그레이티아이스(ICED)(Tall),0,,0,0,,2022-06-24
홍차_얼그레이티핫(HOT)(Tall),0,,0,0,,2022-06-24
홍차_얼그레이리저브아이스(ICED),2,0.47,0,0.23,,2022-06-27
홍차_얼그레이리저브핫(HOT),3,0.5,0,0.25,,2022-06-27
홍차_얼그레이아이스(ICED)(L),2,,,0.42,,2022-07-12
홍차_얼그레이아이스(ICED),0,,0,0.04,,2022-07-06
홍차_얼그레이아이스(ICED),0,,0,0,,2022-07-11
홍차_얼그레이아이스(ICED),1,,0,0,,2022-07-11
홍차_얼그레이클래식,2,,0,0,,2022-07-08
홍차_얼그레이티아이스(ICED)(L),0,,0,0.09,,2022-07-05
홍차_얼그레이티핫(HOT)(L),0,,0,0.09,,2022-07-05
홍차_얼그레이핫(HOT)(L),0,,,0,,2022-07-12
홍차_얼그레이핫(HOT),0,,,0.03,,2022-07-06
홍차_얼그레이핫(HOT),0,,0,0,,2022-07-11
홍차_얼그레이핫(HOT),0,,0,0,,2022-07-11
홍차_얼그레이핫(HOT),1,,0,0,,2022-07-11
홍차_얼그레이,1,,0,0.07,0,2022-06-23
홍차_얼그레이,1,0.02,0,0.05,0.05,2022-07-04
홍차_얼그레이티아이스(ICED)(J),2,,0,0.15,,2022-06-22
홍차_얼그레이티아이스(ICED)(L),2,,0,0,,2022-06-22
홍차_얼그레이티핫(HOT)(J),1,,0,0.21,,2022-06-22
홍차_얼그레이티핫(HOT)(L),1,,0,0,,2022-06-22
홍차_영그레이아이스(ICED)(L),1,,0,0,,2022-07-11
홍차_영그레이핫(HOT)(L),1,,0,0,,2022-07-11
홍차_유스베리티아이스(ICED)(Tall),0,,0,0,,2022-06-24
홍차_유스베리티핫(HOT)(Tall),0,,0,0,,2022-06-24
홍차_잉글리쉬브랙퍼스트아이스(ICED),0,,0,0,,2022-07-11
홍차_잉글리쉬브랙퍼스트핫(HOT),0,,0,0,,2022-07-11
홍차_잉글리쉬브렉퍼스트티아이스(ICED)(Tall),0,,0,0,,2022-06-24
홍차_잉글리쉬브렉퍼스트티핫(HOT)(Tall),0,,0,0,,2022-06-24
홍차_잉글리쉬브렉퍼스트,1,,0,0,,2022-07-04
홍차_잉글리쉬브렉퍼스트아이스(ICED)(L),0,,,0,,2022-07-12
홍차_잉글리쉬브렉퍼스트핫(HOT)(L),0,,,0,,2022-07-12
홍차_크림카라멜아이스(ICED)(L),1,,,0,,2022-07-12
홍차_퍼스트브레이크아이스(ICED)(L),1,,0,0,,2022-07-11
홍차_퍼스트브레이크핫(HOT)(L),1,,0,0,,2022-07-11
홍차_홍차아이스(ICED),0,,0.04,0,,2022-07-04
홍차_홍차핫(HOT),1,,0.05,0,,2022-07-04
홍차_블랙티아이스(ICED),4,,0.73,0.03,,2023-09-26
홍차_블랙티핫(HOT),6,,1.06,0.05,,2023-09-26
홍차_얼그레이,1,,0,0.05,,2023-06-30
홍차_얼그레이,1,,0,0,,2023-06-30
홍차_얼그레이아이스(ICED),0,,0,0,,2023-06-30
홍차_얼그레이아이스(ICED),0,0,0,0.01,0.02,2023-06-30
홍차_얼그레이아이스(ICED),1,,0,0,,2023-06-30
홍차_얼그레이아이스(ICED)(L),0,,0,0,,2023-06-30
홍차_얼그레이아이스(ICED)(M),0,,0,0,,2023-06-30
홍차_얼그레이핫(HOT),0,,0,0,,2023-06-30
홍차_얼그레이핫(HOT),0,0.01,0,0.01,0.02,2023-06-30
홍차_얼그레이핫(HOT),1,,0,0,,2023-06-30
홍차_얼그레이핫(HOT)(L),0,,0,0,,2023-06-30
홍차_얼그레이핫(HOT)(M),0,,0,0,,2023-06-30
홍차_얼그레이티아이스(ICED),1,,0.02,0.05,,2023-06-23
홍차_얼그레이티핫(HOT),1,,0.04,0.08,,2023-06-23
과일_하루한컵RED,43,,7.07,0.47,,2022-06-24
견과_넛츠앤푸르츠,550,37.5,17.5,17.5,37.5,2022-07-12
계란덮밥,143,25.14,3.07,4.31,2.82,2022-06-30
곤드레나물밥,149,28.26,0,2.94,2.71,2016-10-31
국밥,52,7.33,0.05,3.45,1.03,2016-10-31
국밥_굴,105,13.6,0.05,6.52,2.74,2015-06-30
국밥_돼지고기,76,6.23,0,5.53,3.22,2016-10-31
국밥_소고기,47,6.09,0.4,3.11,1.16,2016-10-31
귀리밥,162,34.54,0.09,3.9,0.87,2022-06-30
김밥_샐러드,162,24.58,1.37,3.85,5.41,2012-02-28
김밥_소고기,160,25.01,0.33,6.39,3.85,2012-02-28
김밥_참치,170,22.73,1.46,6.44,5.89,2022-06-30
누룽지_뜨거운물첨가,69,15.06,1.15,1.32,0.1,2016-12-31
덮밥_송이버섯,97,15.93,0.38,3.04,2.34,2013-03-31
덮밥_유산슬,105,13.44,0.08,4.9,3.46,2013-03-31
덮밥_장어,179,24.34,1.4,7.52,5.74,2013-03-31
덮밥_참치,136,20.59,0.6,5.84,3.35,2012-02-28
덮밥_해물,110,14.35,0.17,6.01,3.21,2013-03-31
리소토/리조또_간편조리세트_베이컨버섯크림리조또,187,15.9,2.09,3.11,12.29,2022-06-30
리소토/리조또_간편조리세트_쉬림프로제리조또,176,18.57,3.84,3.35,9.77,2022-06-30
묵밥,68,13.54,1.59,1.56,0.81,2016-10-31
볶음밥_간편조리세트_돼지불백깍둑볶음누룽밥,186,17.92,4.16,10.82,7.84,2022-06-30
볶음밥,193,22.5,1.79,6.92,8.38,2022-06-30
볶음밥_김치,167,23.21,1.63,4.18,6.44,2022-06-30
볶음밥_삼선,172,21.44,0.4,6.56,6.62,2013-03-31
볶음밥_새우,175,28.2,,4.5,4.9,2011-12-31
볶음밥_해물,176,22.61,0.31,6.28,6.75,2013-03-31
비빔밥_간편조리세트_꼬막비빔밥,103,11.01,5.31,7.33,3.29,2022-06-30
비빔밥,142,22.5,3.04,4.47,3.81,2022-06-30
비빔밥_멍게,137,22.68,4.18,4.15,3.28,2016-10-31
비빔밥_약초,128,20.05,0.73,2.98,3.98,2016-10-31
삼각김밥_고추장불고기,165,34.11,0.21,3.66,1.58,2012-02-28
삼각김밥_숯불갈비,161,32.55,0.16,4,1.67,2012-02-28
삼각김밥_참치마요네즈,172,31.95,0.02,3.94,3.2,2012-02-28
새우튀김롤,202,32.09,3.71,4.82,6.06,2013-03-31
쌀밥,166,37.33,0.02,3.36,0.32,2022-06-30
알밥_간편조리세트_갑오징어알뚝밥,124,10.21,2.63,9.82,4.88,2022-06-30
연어롤,170,24.77,2.82,6.19,5.13,2013-03-31
연잎밥,207,47,,4,0.3,2009-12-31
오곡밥,156,32.93,0.07,4.78,0.52,2014-09-30
자장밥,148,24.01,1.07,3.05,4.46,2012-02-28
잡탕밥,104,13.99,0.06,5.88,2.68,2012-02-28
주먹밥_멸치,208,36.2,0.6,6,4.4,2015-06-30
짜장밥_오징어,136,21.5,,6.3,2.8,2011-12-31
초밥_광어,151,25.85,2.57,9.02,1.31,2012-02-28
초밥_농어,159,31.5,5.2,6.97,0.53,2013-03-31
초밥_모듬,154,25.48,2.88,8.47,2.02,2012-02-28
초밥_문어,157,32.71,5.35,5.85,0.3,2013-03-31
초밥_새우,130,20.41,3.95,7.78,1.94,2022-06-30
초밥_연어,207,19.59,3.62,11.2,9.36,2022-06-30
초밥_유부초밥,165,31.26,2.11,4.32,2.51,2016-12-31
초밥_장어,195,32.27,5.47,6.61,4.33,2013-03-31
초밥_한치,150,31.17,5.25,5.48,0.34,2013-03-31
충무김밥,146,27.29,4.3,5.86,1.49,2013-03-31
캘리포니아롤,163,29.74,2.97,4.11,3.02,2013-03-31
콩밥_강낭콩,173,38.04,0.1,4.38,0.39,2022-06-30
회덮밥,137,20.66,2.19,6.04,3.31,2012-02-28
가래떡,210,46.11,0.06,4,1.08,2022-06-30
가래떡_흑미,205,47.8,,3.5,0,2016-12-31
개피떡(바람떡),206,44.3,7.62,5.32,0.81,2023-04-27
경단_깨,319,74.22,26.64,4.44,0.54,2014-09-30
경단_찹쌀_카스텔라,237,51.1,,4.1,1.8,1996-12-31
경단_콩,314,74.03,20.55,3.51,0.46,2014-09-30
기피편,220,48.99,2.08,5.45,0.25,2014-09-30
모듬찰떡,233,42.59,3.12,6.31,4.12,2023-04-27
모싯잎송편_동부,190,40.29,3.18,5.65,0.66,2014-12-31
모싯잎송편_동부(국내산),190,40.68,1.59,5.28,0.65,2014-12-31
모싯잎송편_동부(수입산),190,39.9,3.18,6.03,0.67,2014-12-31
무지개떡,229,53.01,8.99,3.53,0.31,2012-02-28
백설기,224,50.28,7.79,3.78,0.9,2022-06-30
백설기_검정콩,229,48.31,2.07,5.75,1.46,2016-12-31
빙떡(메밀전병),168,21.62,0.62,6.18,6.29,2014-09-30
송편_검정콩,200,41.2,,6.9,0.8,2001-12-31
송편_깨,224,44.96,1.15,4.92,2.74,2014-09-30
송편_콩,194,41.66,1.26,5.24,0.75,2014-09-30
송편_팥,200,43.6,,5.4,0.4,2001-12-31
수수경단,218,43.1,,8.2,1.4,2000-12-31
수수부꾸미,248,42.1,0.24,5.73,6.29,2014-09-30
수수팥떡,204,43.03,2.82,6.7,0.59,2014-09-30
시루떡,217,47.54,3.22,5.47,0.61,2012-02-28
시루떡_녹두,246,48.08,4.05,7.74,2.53,2014-09-30
쑥떡,249,57.89,10.72,3.36,0.4,2014-09-30
약식,220,45.43,10.21,4.44,2.32,2023-04-27
인절미_콩고물,231,49.69,2.81,5.52,1.15,2016-12-31
인절미_팥고물,204,44.8,,4.2,0.9,1996-12-31
절편,197,43.58,0.08,3.82,0.8,2022-06-30
찰시루떡,181,37.63,1.22,6.63,0.41,2016-12-31
찹쌀떡,277,65.61,17.54,3.26,0.15,2012-02-28
찹쌀떡,241,54.49,19.9,4.7,0.51,2023-04-27
찹쌀떡_팥,266,57.66,24.35,4.09,2.14,2022-06-30
다식_송화,369,73.97,26.65,8.3,4.48,2014-09-30
다쿠아즈,447,43.39,38.13,8.33,26.65,2022-06-30
도넛_찹쌀,296,57.07,17.32,5.04,5.26,2012-02-28
마카롱,480,45.23,41.94,6.92,30.11,2022-06-30
버터크림빵,383,46.23,11.99,8.18,18.41,2012-02-28
샌드위치_닭고기,250,20.89,3.64,16.28,11.19,2018-12-31
샌드위치_생선,257,26.69,3.53,10.29,12.45,2018-12-31
샌드위치_소고기,244,22.21,3.84,15.17,10.3,2018-12-31
샌드위치_소시지,276,23.74,3.56,10.3,15.57,2022-06-30
샌드위치_참치,222,14.6,4.04,9.32,14.04,2017-12-31
샌드위치_햄_치즈,284,26.95,4.13,8.57,15.75,2022-06-30
샌드위치_햄_치즈_채소,214,21.55,4.67,8.66,10.38,2017-04-01
소보로빵,396,60.22,16.76,9.02,13.25,2013-03-31
소보로빵_맘모스빵,354,51.07,25.73,6.77,13.65,2022-06-30
식빵_통밀식빵,279,48.64,4.49,9.33,5.26,2022-06-30
앙금빵_앙버터빵,372,41.64,16.29,7,19.72,2022-06-30
케이크_초콜릿케이크,420,43.6,23.13,5.31,24.96,2013-03-31
케이크_치즈케이크,329,28.64,15.28,7.23,20.63,2013-03-31
크로켓(고로케)_채소,301,31.19,3.37,7.13,16.38,2012-02-28
파이/만주_만주,318,66.86,32.07,7.33,2.34,2013-03-31
페이스트리,457,46.45,8.21,8.56,26.28,2012-02-28
프레즐,312,55.14,7.94,8.37,6.45,2022-06-30
피자_불고기피자,253,30.6,4.6,13.7,8.35,2017-12-31
피자_치즈피자,277,35.6,3.4,15.7,7.9,2017-12-31
피자_페퍼로니피자,266,35.15,3.75,14.7,7.4,2017-12-31
피자_포테이토피자,251,28.64,3.4,11.2,10.2,2017-12-31
핫도그,341,24.95,3.95,7.98,23.23,2022-06-30
핫도그_감자,324,20.45,2.3,8.31,23.17,2022-06-30
핫도그_모짜렐라,318,27.58,2.43,11.78,17.83,2022-06-30
햄버거,225,15.64,5.18,11.04,13.12,2022-06-30
햄버거_소고기패티,271,35.76,6.59,11.94,8.94,2016-12-31
햄버거_소고기패티_토마토_양상추,229,18.01,4.78,9.55,13.23,2016-12-31
햄버거_치즈,284,21.51,4.66,15.07,15.35,2022-06-30
매작과,413,66.11,16.42,7.51,13.15,2014-09-30
산자,366,82.17,31.35,2.31,3.09,2014-09-30
약과,399,84.89,16.89,4.2,4.75,2014-09-30
유과,424,74.23,24.15,2.81,12.83,2014-09-30
간자장,127,20.65,1.87,3.44,3.39,2012-02-28
국수_김치말이국수,50,8.67,1.38,2.15,0.8,2016-10-31
국수_막국수,57,10.98,0.94,2,0.58,2016-10-31
국수_열무김치,54,8.7,2.33,1.88,1.28,2017-12-31
기스면,61,8.98,0.05,3.78,1.07,2013-03-31
냉면_물냉면,66,13.12,2.52,1.99,0.63,2022-06-30
냉면_비빔냉면,131,21.1,3.79,3.43,3.61,2022-06-30
냉면_열무냉면,66,12.19,3.39,2.61,0.72,2012-02-28
떡만두국,89,15.82,0.02,2.87,1.62,2012-02-28
라멘_간편조리세트_매운돈코츠라멘,91,7.38,1.17,3.82,5.09,2022-06-30
라멘_돈코츠라멘,98,5.87,0.77,4.14,6.42,2022-06-30
